ID,h:m:s,d:m:s,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,mag,mag,mag,%,h:m:s,d:m:s
1,02 37 22.86,+42 29 40.5,0.85,1.77,0.04,0.09,14.38,     ,     ,0,02 40 35.89,+42 42 30.9
2,02 37 22.94,+42 29 17.8,0.12,0.49,0.21,0.08,15.79,0.53,0.38,0,02 40 35.97,+42 42 08.2
3,02 37 23.68,+42 35 09.5,-0.39,0.2,0.26,0.22,15.62,     ,     ,1,02 40 36.84,+42 47 59.9
4,02 37 25.23,+42 28 41.7,4.16,1.12,0.02,0.02,13.79,     ,     ,0,02 40 38.25,+42 41 32.0
5,02 37 26.78,+42 34 20.0,0.12,0.61,0.19,0.12,14.94,     ,     ,0,02 40 39.93,+42 47 10.2
6,02 37 26.94,+42 26 39.1,0.43,0.14,0.02,0.02,13.16,     ,     ,0,02 40 39.92,+42 39 29.3
7,02 37 27.92,+42 31 57.7,0.66,0.75,0.26,0.2,15.76,     ,     ,0,02 40 41.02,+42 44 47.9
8,02 37 29.51,+42 36 36.3,-0.77,0.84,0.09,0.07,14.6,     ,     ,0,02 40 42.73,+42 49 26.4
9,02 37 30.25,+42 36 24.5,-0.63,-0.17,0.32,0.11,16.06,     ,     ,0,02 40 43.46,+42 49 14.6
10,02 37 30.70,+42 27 06.4,-0.25,0.12,0.05,0.04,13.87,0.57,0.49,0,02 40 43.70,+42 39 56.5
11,02 37 32.73,+42 27 14.9,-0.3,0.22,0.05,0.05,14.09,0.51,0.43,0,02 40 45.74,+42 40 04.9
12,02 37 32.99,+42 29 38.3,-0.27,0.05,0.23,0.35,15.61,0.66,0.62,13,02 40 46.06,+42 42 28.3
13,02 37 34.10,+42 38 37.3,2.5,-2.6,0.05,0.06,14.7,     ,     ,0,02 40 47.38,+42 51 27.2
14,02 37 34.76,+42 34 52.3,-0.05,0.81,0.2,0.18,15.16,1,0.93,0,02 40 47.95,+42 47 42.2
15,02 37 36.01,+42 34 58.6,0.56,0.58,0.13,0.24,15.81,0.85,0.75,0,02 40 49.21,+42 47 48.4
16,02 37 36.24,+42 38 21.5,-0.89,0.3,0.04,0.05,14.02,     ,     ,0,02 40 49.52,+42 51 11.3
17,02 37 36.30,+42 30 05.7,-0.07,-0.01,0.05,0.04,11.55,0.51,0.56,99,02 40 49.39,+42 42 55.5
18,02 37 36.42,+42 34 06.2,-0.1,-0.17,0.38,0.1,15.66,1.1,1.09,36,02 40 49.60,+42 46 56.0
19,02 37 38.08,+42 36 31.3,-0.3,0.45,0.19,0.12,15.52,     ,     ,0,02 40 51.32,+42 49 21.0
20,02 37 38.64,+42 29 16.9,-0.73,1.21,0.06,0.04,14.12,     ,     ,0,02 40 51.72,+42 42 06.6
21,02 37 38.97,+42 41 48.4,-0.28,0.51,0.03,0.03,12.79,     ,     ,0,02 40 52.34,+42 54 38.1
22,02 37 39.17,+42 28 49.1,-0.02,-0.02,0.03,0.02,12.35,     ,     ,99,02 40 52.24,+42 41 38.8
23,02 37 40.33,+42 26 28.7,-0.53,-0.16,0.25,0.24,15.56,     ,     ,0,02 40 53.35,+42 39 18.3
24,02 37 40.84,+42 32 29.2,-0.1,0.34,0.07,0.05,14.83,     ,     ,0,02 40 54.00,+42 45 18.8
25,02 37 42.87,+42 33 30.9,-0.44,0.38,0.19,0.16,14.97,     ,     ,0,02 40 56.06,+42 46 20.4
26,02 37 43.08,+42 42 19.4,-0.64,0.7,0.16,0.21,15.14,     ,     ,0,02 40 56.47,+42 55 08.9
27,02 37 43.73,+42 34 58.8,0.45,0.48,0.03,0.02,12.58,     ,     ,0,02 40 56.96,+42 47 48.2
28,02 37 44.17,+42 33 37.6,-0.04,0.5,0.05,0.03,14.1,     ,     ,0,02 40 57.37,+42 46 27.0
29,02 37 44.17,+42 27 33.2,0.55,1.02,0.08,0.05,14.98,     ,     ,0,02 40 57.23,+42 40 22.6
30,02 37 44.26,+42 33 46.2,-0.28,0.32,0.16,0.16,15.19,     ,     ,0,02 40 57.46,+42 46 35.6
31,02 37 44.69,+42 33 57.3,0.85,-0.39,0.02,0.02,12.5,     ,     ,0,02 40 57.90,+42 46 46.7
32,02 37 44.81,+42 34 11.6,-0.36,0.26,0.33,0.25,15.84,     ,     ,1,02 40 58.02,+42 47 01.0
33,02 37 44.94,+42 26 08.7,-0.14,0.29,0.04,0.03,14.34,     ,     ,0,02 40 57.97,+42 38 58.1
34,02 37 45.15,+42 30 03.0,0.42,-0.13,0.37,0.14,15.3,     ,     ,0,02 40 58.27,+42 42 52.4
35,02 37 45.89,+42 36 28.5,1.33,-1.52,0.04,0.03,11.38,     ,     ,0,02 40 59.16,+42 49 17.8
36,02 37 46.88,+42 24 49.3,-0.42,0.1,0.2,0.19,15.86,0.45,0.48,1,02 40 59.88,+42 37 38.6
37,02 37 46.90,+42 32 01.0,-0.01,0.59,0.31,0.19,15.61,0.43,0.56,0,02 41 00.07,+42 44 50.3
38,02 37 47.19,+42 36 54.6,0.47,0.62,0.31,0.25,16.21,0.77,0.43,0,02 41 00.47,+42 49 43.9
39,02 37 47.26,+42 21 02.3,-0.67,-0.16,0.03,0.04,13.86,     ,     ,0,02 41 00.18,+42 33 51.6
40,02 37 47.52,+42 35 39.5,0.08,-0.22,0.25,0.14,15.97,0.66,0.61,35,02 41 00.78,+42 48 28.8
41,02 37 47.58,+42 39 58.2,-0.29,0.27,0.18,0.12,15.02,0.77,0.93,0,02 41 00.94,+42 52 47.5
42,02 37 48.72,+42 29 43.3,0.05,-0.02,0.14,0.16,15.1,1.02,0.88,76,02 41 01.84,+42 42 32.5
43,02 37 50.13,+42 45 16.1,-0.59,0.22,0.24,0.16,15.62,     ,     ,0,02 41 03.62,+42 58 05.2
44,02 37 50.30,+42 25 03.1,-0.31,-0.07,0.04,0.08,14.96,0.71,0.54,0,02 41 03.32,+42 37 52.2
45,02 37 50.32,+42 30 13.5,0.28,0.34,0.19,0.15,15.39,0.79,0.63,0,02 41 03.46,+42 43 02.6
46,02 37 51.21,+42 39 03.8,-0.47,0.7,0.08,0.09,15.18,0.58,0.62,0,02 41 04.56,+42 51 52.9
47,02 37 51.41,+42 37 43.5,0.02,0.55,0.26,0.11,16.24,0.21,0.37,0,02 41 04.73,+42 50 32.6
48,02 37 51.59,+42 32 23.8,-0.28,0.88,0.19,0.26,15.54,0.42,0.5,0,02 41 04.78,+42 45 12.9
49,02 37 51.63,+42 43 55.0,-0.23,0.26,0.12,0.05,14.59,     ,     ,0,02 41 05.09,+42 56 44.1
50,02 37 51.69,+42 34 03.4,-0.11,0.08,0.02,0.02,13.66,0.01,0.86,4,02 41 04.92,+42 46 52.5
51,02 37 51.83,+42 39 50.2,-0.04,0,0.05,0.02,11.94,0.42,0.4,99,02 41 05.20,+42 52 39.3
52,02 37 52.92,+42 33 32.9,0.03,0.18,0.42,0.11,16.08,0.34,1.56,26,02 41 06.15,+42 46 21.9
53,02 37 53.26,+42 27 11.7,-0.03,0.03,0.04,0.04,10.91,0.25,0.14,99,02 41 06.34,+42 40 00.7
54,02 37 53.83,+42 41 10.8,-0.67,0.65,0.14,0.25,15.44,     ,     ,0,02 41 07.24,+42 53 59.8
55,02 37 54.07,+42 30 12.6,-0.2,0.61,0.45,0.26,16.51,0.69,0.55,0,02 41 07.22,+42 43 01.6
56,02 37 54.51,+42 29 04.1,0.93,0.32,0.03,0.03,12.26,     ,     ,0,02 41 07.64,+42 41 53.0
57,02 37 54.73,+42 44 13.8,-0.43,0.37,0.39,0.32,15.87,     ,     ,0,02 41 08.21,+42 57 02.7
58,02 37 54.76,+42 36 54.0,-0.26,0.51,0.2,0.16,15.77,0.48,0.62,0,02 41 08.07,+42 49 42.9
59,02 37 55.21,+42 38 39.9,-0.08,0.02,0.02,0.05,11.7,0.44,0.33,98,02 41 08.56,+42 51 28.8
60,02 37 55.22,+42 35 42.8,0.63,0.96,0.34,0.26,16.56,0.62,0.45,0,02 41 08.50,+42 48 31.7
61,02 37 55.36,+42 41 28.9,-0.02,0,0.22,0.16,16.07,0.63,0.79,47,02 41 08.78,+42 54 17.8
62,02 37 55.94,+42 20 48.5,0.16,0.69,0.08,0.07,14.71,0.52,0.41,0,02 41 08.88,+42 33 37.4
63,02 37 55.99,+42 38 29.1,0.18,0.35,0.08,0.1,16.01,0.95,0.77,3,02 41 09.34,+42 51 18.0
64,02 37 56.47,+42 31 27.7,-0.45,0.01,0.28,0.61,16.25,0.44,0.54,1,02 41 09.66,+42 44 16.6
65,02 37 56.64,+42 33 05.4,0.02,0.02,0.02,0.02,12.88,-0.11,0.75,99,02 41 09.87,+42 45 54.2
66,02 37 57.11,+42 24 06.9,0.04,0.39,0.08,0.08,14.45,0.62,0.55,0,02 41 10.13,+42 36 55.7
67,02 37 58.20,+42 32 59.9,2.43,0.52,0.03,0.01,13.28,     ,     ,0,02 41 11.43,+42 45 48.7
68,02 37 58.43,+42 43 59.5,0.03,0.47,0.13,0.13,14.97,     ,     ,0,02 41 11.92,+42 56 48.3
69,02 37 58.45,+42 27 45.9,0.01,0.03,0.06,0.03,10.43,     ,     ,99,02 41 11.56,+42 40 34.7
70,02 37 59.53,+42 37 31.2,-1.36,0.27,0.32,0.27,15.94,     ,     ,0,02 41 12.87,+42 50 19.9
71,02 37 59.72,+42 35 45.9,0.22,0.45,0.25,0.2,15.83,0.87,0.86,0,02 41 13.02,+42 48 34.6
72,02 37 59.73,+42 40 47.8,0.05,0.43,0.04,0.04,14.43,0.48,0.54,0,02 41 13.15,+42 53 36.5
73,02 38 00.16,+42 46 52.6,-1.86,1.1,0.02,0.02,12.31,     ,     ,0,02 41 13.72,+42 59 41.3
74,02 38 00.19,+42 18 58.4,-0.15,0.54,0.34,0.16,15.37,     ,     ,0,02 41 13.11,+42 31 47.1
75,02 38 00.43,+42 20 08.5,-0.06,0.22,0.18,0.24,15.54,0.66,0.53,17,02 41 13.37,+42 32 57.2
76,02 38 00.72,+42 45 58.3,-0.31,0.69,0.02,0.01,11.74,     ,     ,0,02 41 14.26,+42 58 46.9
77,02 38 00.77,+42 44 56.7,0.11,0.61,0.17,0.12,15.2,     ,     ,0,02 41 14.29,+42 57 45.3
78,02 38 00.85,+42 20 47.7,-0.04,0.24,0.07,0.05,14.87,0.47,0.39,0,02 41 13.81,+42 33 36.4
79,02 38 01.43,+42 27 22.9,0.08,-0.1,0.03,0.02,13.49,0.57,0.48,50,02 41 14.54,+42 40 11.5
80,02 38 02.39,+42 37 57.7,0.14,0.04,0.33,0.12,15.52,0.55,0.38,38,02 41 15.75,+42 50 46.3
81,02 38 03.39,+42 42 20.4,-4.27,-1.61,0.03,0.03,13.08,     ,     ,0,02 41 16.86,+42 55 08.9
82,02 38 03.47,+42 22 21.7,-0.7,0.38,0.22,0.15,15.84,     ,     ,0,02 41 16.47,+42 35 10.2
83,02 38 03.68,+42 26 34.5,-0.54,0.3,0.24,0.2,15.99,0.34,0.51,0,02 41 16.78,+42 39 23.0
84,02 38 03.84,+42 46 05.4,0.19,0.29,0.03,0.05,10.9,     ,     ,0,02 41 17.39,+42 58 53.9
85,02 38 03.87,+42 37 58.3,-0.32,-0.37,0.17,0.09,15.08,0.8,0.71,0,02 41 17.24,+42 50 46.8
86,02 38 04.32,+42 29 24.6,0.14,0.33,0.67,0.21,16.18,0.61,0.51,4,02 41 17.49,+42 42 13.1
87,02 38 04.33,+42 30 44.1,0.01,0.05,0.04,0.05,10.46,0.18,0,99,02 41 17.53,+42 43 32.6
88,02 38 04.39,+42 31 27.9,0.03,0.33,0.07,0.05,14.6,1.07,1.09,0,02 41 17.61,+42 44 16.4
89,02 38 04.68,+42 21 28.6,0.47,-0.05,0.03,0.02,13.57,     ,     ,0,02 41 17.67,+42 34 17.1
90,02 38 05.41,+42 47 28.6,4.25,-3.06,0.38,0.22,15.94,     ,     ,0,02 41 19.00,+43 00 17.0
91,02 38 05.58,+42 19 41.4,-0.19,0.37,0.46,0.4,15.3,0.49,0.51,0,02 41 18.53,+42 32 29.8
92,02 38 05.69,+42 42 43.3,0.35,0.55,0.27,0.29,15.8,0.81,0.63,0,02 41 19.17,+42 55 31.7
93,02 38 06.20,+42 39 13.5,-0.67,0.35,0.04,0.04,14.13,     ,     ,0,02 41 19.60,+42 52 01.9
94,02 38 06.31,+42 46 03.8,-0.32,0.47,0.21,0.2,15.5,0.83,0.58,0,02 41 19.87,+42 58 52.2
95,02 38 06.40,+42 28 22.0,-0.27,0.95,0.14,0.15,15.93,0.54,0.4,0,02 41 19.55,+42 41 10.4
96,02 38 06.82,+42 28 09.2,-0.7,0.13,0.44,0.28,16.56,0.56,0.62,0,02 41 19.97,+42 40 57.6
97,02 38 06.96,+42 47 09.3,-0.1,0.13,0.03,0.03,12.3,0.5,0.43,16,02 41 20.55,+42 59 57.7
98,02 38 07.09,+42 33 18.0,-0.56,0.29,0.06,0.06,14.98,     ,     ,0,02 41 20.36,+42 46 06.4
99,02 38 07.36,+42 36 19.4,0.76,0.54,0.02,0.03,11.76,     ,     ,0,02 41 20.70,+42 49 07.7
100,02 38 07.44,+42 39 52.9,-0.03,0,0.03,0.05,10.3,0.16,-0.02,99,02 41 20.86,+42 52 41.2
101,02 38 07.75,+42 18 35.9,-1.13,0.3,0.03,0.02,13.03,     ,     ,0,02 41 20.68,+42 31 24.2
102,02 38 07.89,+42 25 05.9,0.34,0.12,0.16,0.15,15.48,0.49,0.49,0,02 41 20.97,+42 37 54.2
103,02 38 07.89,+42 46 31.5,-0.76,-0.21,0.02,0.02,13.12,     ,     ,0,02 41 21.47,+42 59 19.8
104,02 38 08.02,+42 38 21.1,-0.34,0.9,0.53,0.35,16.04,0.51,0.48,0,02 41 21.41,+42 51 09.4
105,02 38 08.33,+42 22 56.8,0.21,0.03,0.1,0.09,15.16,0.98,0.89,10,02 41 21.36,+42 35 45.1
106,02 38 08.78,+42 34 50.9,0.71,-0.11,0.18,0.09,14.77,     ,     ,0,02 41 22.09,+42 47 39.2
107,02 38 08.80,+42 18 14.1,0.61,1.45,0.3,0.24,15.55,     ,     ,0,02 41 21.73,+42 31 02.4
108,02 38 09.07,+42 19 48.0,-0.98,0.54,0.16,0.16,15.25,     ,     ,0,02 41 22.03,+42 32 36.3
109,02 38 09.33,+42 45 33.7,-1.04,0.31,0.21,0.15,14.89,     ,     ,0,02 41 22.89,+42 58 21.9
110,02 38 09.55,+42 19 54.3,0.41,0.34,0.04,0.02,12.19,     ,     ,0,02 41 22.52,+42 32 42.5
111,02 38 09.71,+42 28 22.4,0.13,0.11,0.16,0.2,15.83,0.51,0.63,32,02 41 22.87,+42 41 10.6
112,02 38 09.74,+42 43 37.7,0.14,0.69,0.03,0.02,13.7,     ,     ,0,02 41 23.26,+42 56 25.9
113,02 38 09.92,+42 27 28.6,-0.02,-0.05,0.24,0.1,14.86,0.88,0.91,84,02 41 23.06,+42 40 16.8
114,02 38 10.02,+42 45 48.7,0.14,-0.07,0.02,0.03,12.16,0.66,0.6,50,02 41 23.59,+42 58 36.9
115,02 38 10.66,+42 36 15.6,-0.03,-0.07,0.04,0.09,10.15,0.18,-0.06,99,02 41 24.01,+42 49 03.8
116,02 38 10.77,+42 18 08.3,0.16,0.6,0.06,0.05,14.87,0.97,0.99,0,02 41 23.70,+42 30 56.5
117,02 38 10.84,+42 35 31.2,-0.14,0.18,0.08,0.07,14.59,1.41,0.71,0,02 41 24.17,+42 48 19.4
118,02 38 10.85,+42 41 29.6,0.07,-0.02,0.08,0.04,14.32,0.54,0.51,93,02 41 24.32,+42 54 17.8
119,02 38 10.88,+42 42 35.3,-0.36,0.34,0.62,0.37,16.07,0.58,0.61,0,02 41 24.38,+42 55 23.5
120,02 38 11.21,+42 35 37.3,0.61,0.92,0.12,0.07,14.87,     ,     ,0,02 41 24.55,+42 48 25.5
121,02 38 11.80,+42 42 35.8,-0.47,0.59,0.04,0.06,14.31,     ,     ,0,02 41 25.30,+42 55 23.9
122,02 38 12.24,+42 37 46.0,0.48,-0.16,0.04,0.05,10.14,     ,     ,0,02 41 25.63,+42 50 34.1
123,02 38 12.61,+42 29 53.9,-0.08,0.62,0.05,0.05,14.31,0.93,0.86,0,02 41 25.82,+42 42 42.0
124,02 38 12.91,+42 35 25.7,-0.01,0.02,0.01,0.01,13.35,0.64,0.58,98,02 41 26.25,+42 48 13.8
125,02 38 13.08,+42 22 16.9,0.31,-0.14,0.17,0.22,15.58,0.52,0.58,14,02 41 26.12,+42 35 05.0
126,02 38 13.09,+42 33 34.7,0.04,0.54,0.05,0.03,14.22,1.14,1.07,0,02 41 26.39,+42 46 22.8
127,02 38 13.60,+42 25 20.5,0.8,0.57,0.17,0.27,15.68,     ,     ,0,02 41 26.71,+42 38 08.6
128,02 38 13.81,+42 35 25.5,0.59,0.49,0.2,0.2,15.27,     ,     ,0,02 41 27.15,+42 48 13.5
129,02 38 13.93,+42 30 54.9,-0.65,0.29,0.17,0.14,15.15,     ,     ,0,02 41 27.17,+42 43 42.9
130,02 38 14.20,+42 21 08.7,-0.06,0.46,0.25,0.15,15.4,0.9,0.93,0,02 41 27.21,+42 33 56.7
131,02 38 14.57,+42 22 54.9,-0.66,0.01,0.31,0.11,14.77,     ,     ,0,02 41 27.62,+42 35 42.9
132,02 38 14.88,+42 46 08.2,-0.47,0.82,0.22,0.18,15.84,     ,     ,0,02 41 28.47,+42 58 56.2
133,02 38 14.98,+42 25 49.9,0.06,0.03,0.03,0.03,13.69,0.66,0.68,96,02 41 28.10,+42 38 37.9
134,02 38 15.47,+42 18 38.3,0.13,0.82,0.14,0.13,14.88,0.98,0.84,0,02 41 28.43,+42 31 26.3
135,02 38 15.61,+42 24 23.2,-0.05,0.67,0.21,0.3,15.61,0.55,0.46,0,02 41 28.70,+42 37 11.2
136,02 38 15.66,+42 27 02.4,-0.26,0.14,0.06,0.07,14.66,0.57,0.5,0,02 41 28.81,+42 39 50.4
137,02 38 15.68,+42 20 50.5,0,0.07,0.04,0.03,10.62,0.33,0.25,99,02 41 28.69,+42 33 38.5
138,02 38 15.75,+42 40 06.7,-0.38,0.71,0.28,0.09,14.9,     ,     ,0,02 41 29.21,+42 52 54.6
139,02 38 15.95,+42 24 15.1,-0.12,0.3,0.33,0.13,15.59,0.83,0.77,6,02 41 29.04,+42 37 03.0
140,02 38 16.03,+42 32 24.4,-0.37,0.65,0.03,0.02,13.12,     ,     ,0,02 41 29.31,+42 45 12.3
141,02 38 16.96,+42 30 22.8,-0.59,0.37,0.04,0.03,14.11,     ,     ,0,02 41 30.20,+42 43 10.7
142,02 38 18.15,+42 36 33.7,-0.01,0.72,0.23,0.57,16.13,0.58,0.48,0,02 41 31.53,+42 49 21.5
143,02 38 18.39,+42 40 24.6,-0.28,0.3,0.03,0.04,14.2,0.56,0.5,0,02 41 31.86,+42 53 12.4
144,02 38 18.68,+42 20 44.3,-0.06,0.95,0.29,0.13,16.06,0.74,0.64,0,02 41 31.70,+42 33 32.1
145,02 38 18.96,+42 41 54.9,-0.13,0.06,0.38,0.14,15.84,0.97,0.87,32,02 41 32.47,+42 54 42.7
146,02 38 19.65,+42 23 55.0,0.05,-0.01,0.02,0.02,12.32,0.56,0.48,99,02 41 32.75,+42 36 42.8
147,02 38 20.08,+42 46 03.0,1.05,-0.53,0.16,0.16,15.34,     ,     ,0,02 41 33.69,+42 58 50.7
148,02 38 20.18,+42 29 24.9,-0.12,-0.03,0.03,0.02,13.92,0.75,0.68,5,02 41 33.40,+42 42 12.6
149,02 38 20.36,+42 29 59.7,0.03,0.71,0.02,0.01,12.33,     ,     ,0,02 41 33.60,+42 42 47.4
150,02 38 20.56,+42 19 35.3,-0.04,0.01,0.02,0.02,12.21,0.6,0.53,99,02 41 33.56,+42 32 23.0
151,02 38 20.89,+42 39 42.8,0.36,0.19,0.07,0.04,14.72,0.71,0.71,0,02 41 34.35,+42 52 30.5
152,02 38 20.95,+42 30 18.9,-0.68,-0.1,0.38,0.31,16.25,0.91,0.88,0,02 41 34.20,+42 43 06.6
153,02 38 20.97,+42 29 13.4,1.2,-0.94,0.02,0.02,13.08,     ,     ,0,02 41 34.19,+42 42 01.1
154,02 38 21.25,+42 39 17.3,0.36,-0.18,0.4,0.15,15.92,1.31,1.18,7,02 41 34.71,+42 52 05.0
155,02 38 21.28,+42 33 05.1,0.08,0.01,0.02,0.01,12.95,0.59,0.52,95,02 41 34.59,+42 45 52.8
156,02 38 21.58,+42 44 19.1,-0.01,-0.02,0.01,0.02,11.82,0.56,0.46,99,02 41 35.15,+42 57 06.8
157,02 38 21.76,+42 44 52.8,-0.13,-0.18,0.29,0.14,15.95,1.39,1.15,31,02 41 35.35,+42 57 40.5
