ID,h:m:s,d:m:s,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,mag,mag,mag,%,h:m:s,d:m:s
472,02 39 30.27,+42 18 35.9,-0.04,-0.09,0.03,0.05,14.2,0.59,0.51,68,02 42 43.48,+42 31 20.4
473,02 39 30.42,+42 28 17.0,0.02,0,0.21,0.23,15.28,0.64,0.68,78,02 42 43.86,+42 41 01.4
474,02 39 31.11,+42 36 43.0,-0.02,0.01,0.04,0.06,10.28,0.1,-0.5,99,02 42 44.75,+42 49 27.4
475,02 39 31.17,+42 23 37.4,0.34,0.02,0.29,0.3,16.19,1.12,1.32,10,02 42 44.50,+42 36 21.8
476,02 39 31.17,+42 27 14.8,1.76,0.62,0.2,0.17,15.59,     ,     ,0,02 42 44.59,+42 39 59.2
477,02 39 31.22,+42 37 59.9,-1.27,0.21,0.02,0.01,12.66,     ,     ,0,02 42 44.89,+42 50 44.3
478,02 39 31.62,+42 36 14.3,-0.05,0.01,0.27,0.29,16.1,0.51,0.67,45,02 42 45.25,+42 48 58.7
479,02 39 31.64,+42 28 40.8,-0.13,0.51,0.2,0.09,15.36,0.78,0.86,0,02 42 45.09,+42 41 25.2
480,02 39 31.66,+42 41 17.0,-0.96,-0.47,0.05,0.03,14.23,     ,     ,0,02 42 45.40,+42 54 01.4
481,02 39 31.69,+42 32 29.4,0.13,1.52,0.14,0.23,14.96,     ,     ,0,02 42 45.23,+42 45 13.8
482,02 39 31.74,+42 39 22.0,0.04,0.02,0.23,0.19,15.36,1.11,0.99,75,02 42 45.44,+42 52 06.4
483,02 39 31.81,+42 29 16.8,0.07,0.06,0.03,0.02,11.33,0.33,0.22,99,02 42 45.27,+42 42 01.2
484,02 39 32.50,+42 21 38.6,0.05,-0.04,0.07,0.03,12.25,0.53,0.5,98,02 42 45.79,+42 34 22.9
485,02 39 32.56,+42 39 40.1,0.29,0.07,0.23,0.18,15.91,0.79,0.65,15,02 42 46.27,+42 52 24.4
486,02 39 32.65,+42 47 56.5,-0.14,0.21,0.17,0.24,15.28,     ,     ,0,02 42 46.55,+43 00 40.8
487,02 39 32.99,+42 26 27.7,0.26,0.06,0.11,0.14,15.02,0.9,0.94,1,02 42 46.39,+42 39 12.0
488,02 39 33.21,+42 30 30.4,-0.02,0,0.02,0.02,12.78,0.58,0.52,99,02 42 46.71,+42 43 14.7
489,02 39 34.11,+42 34 59.5,-0.04,-0.06,0.17,0.11,15,0.95,0.96,67,02 42 47.72,+42 47 43.8
490,02 39 34.15,+42 21 49.0,0.01,-0.49,0.02,0.02,13.55,     ,     ,0,02 42 47.45,+42 34 33.3
491,02 39 34.36,+42 28 04.8,0.02,0.01,0.02,0.03,10.57,0.14,0.03,99,02 42 47.81,+42 40 49.1
492,02 39 34.44,+42 25 01.7,-0.4,0.21,0.04,0.03,14.35,     ,     ,0,02 42 47.82,+42 37 45.9
493,02 39 34.54,+42 35 25.2,0.77,0.17,0.17,0.21,15.13,     ,     ,0,02 42 48.16,+42 48 09.4
494,02 39 34.75,+42 33 49.3,-0.2,0.6,0.21,0.2,15.46,0.7,0.55,0,02 42 48.33,+42 46 33.5
495,02 39 35.63,+42 32 19.6,0.21,0.07,0.55,0.35,16.53,0.9,0.76,26,02 42 49.18,+42 45 03.8
496,02 39 35.92,+42 41 49.1,-0.15,0.29,0.07,0.05,14.56,0.93,0.85,0,02 42 49.69,+42 54 33.3
497,02 39 36.37,+42 32 19.9,0.03,0.23,0.65,0.32,16.46,0.82,0.62,18,02 42 49.92,+42 45 04.1
498,02 39 36.80,+42 26 15.1,0.58,0.05,0.21,0.2,15.71,     ,     ,0,02 42 50.21,+42 38 59.2
499,02 39 36.88,+42 45 24.5,0.48,0.38,0.09,0.07,14.88,     ,     ,0,02 42 50.74,+42 58 08.6
500,02 39 36.88,+42 31 38.0,0.64,0.87,0.22,0.16,15.58,     ,     ,0,02 42 50.42,+42 44 22.1
501,02 39 37.19,+42 38 59.4,0.02,0.64,0.26,0.35,15.67,0.71,0.61,0,02 42 50.90,+42 51 43.5
502,02 39 37.41,+42 22 10.7,0.06,0.06,0.04,0.03,11.23,0.33,0.23,99,02 42 50.73,+42 34 54.8
503,02 39 37.72,+42 35 09.2,0.01,-0.01,0.01,0.02,12.9,0.69,0.68,99,02 42 51.34,+42 47 53.3
504,02 39 37.84,+42 30 45.4,-0.08,0.05,0.01,0.03,11.75,0.44,0.37,97,02 42 51.36,+42 43 29.5
505,02 39 38.08,+42 33 05.1,-0.13,-0.02,0.07,0.06,14.76,0.62,0.48,36,02 42 51.65,+42 45 49.2
506,02 39 38.21,+42 30 15.8,0.35,0.51,0.22,0.28,16.11,     ,     ,0,02 42 51.72,+42 42 59.9
507,02 39 38.41,+42 21 29.0,1.09,0.21,0.01,0.03,12.26,     ,     ,0,02 42 51.72,+42 34 13.1
508,02 39 38.55,+42 39 53.8,0.71,0.36,0.19,0.15,15.43,     ,     ,0,02 42 52.29,+42 52 37.8
509,02 39 38.82,+42 43 53.5,0.13,0.34,0.23,0.18,15.08,0.95,0.87,0,02 42 52.65,+42 56 37.5
510,02 39 38.88,+42 29 49.5,-0.28,-0.24,0.36,0.12,16.23,1.06,1.27,8,02 42 52.38,+42 42 33.5
511,02 39 39.35,+42 21 09.5,0.2,0.08,0.03,0.03,11.69,0.36,0.25,23,02 42 52.65,+42 33 53.5
512,02 39 40.26,+42 31 22.8,0.39,0.67,0.19,0.16,15.06,     ,     ,0,02 42 53.80,+42 44 06.8
513,02 39 40.61,+42 24 54.9,-0.08,-0.05,0.07,0.05,14.47,0.96,1,39,02 42 54.00,+42 37 38.9
514,02 39 41.02,+42 39 44.9,-0.1,-0.46,0.29,0.25,16.16,0.75,0.73,3,02 42 54.76,+42 52 28.8
515,02 39 41.12,+42 28 27.6,0.02,0.04,0.02,0.01,13.28,0.63,0.6,98,02 42 54.60,+42 41 11.5
516,02 39 41.47,+42 33 07.3,0.1,0.16,0.13,0.19,15.98,1.06,1.29,27,02 42 55.06,+42 45 51.2
517,02 39 42.28,+42 29 29.5,-0.01,0.16,0.01,0.04,13.34,0.74,0.67,3,02 42 55.79,+42 42 13.4
518,02 39 42.49,+42 36 24.9,0.35,0.1,0.02,0.03,10.85,     ,     ,0,02 42 56.16,+42 49 08.8
519,02 39 42.61,+42 39 14.6,2.25,-0.14,0.35,0.25,16.28,     ,     ,0,02 42 56.34,+42 51 58.5
520,02 39 43.08,+42 21 32.9,-0.24,1.33,0.02,0.01,13.01,     ,     ,0,02 42 56.40,+42 34 16.7
521,02 39 43.15,+42 43 08.7,0.66,0.94,0.07,0.04,14.43,     ,     ,0,02 42 56.98,+42 55 52.5
522,02 39 43.54,+42 22 38.8,-0.25,-0.27,0.09,0.1,14.4,0.89,0.86,0,02 42 56.89,+42 35 22.6
523,02 39 43.66,+42 37 52.0,0.44,0.29,0.13,0.22,15.71,     ,     ,0,02 42 57.37,+42 50 35.8
524,02 39 43.93,+42 45 20.8,0.32,-0.12,0.15,0.17,14.85,0.94,0.89,0,02 42 57.81,+42 58 04.6
525,02 39 43.95,+42 24 58.2,0.24,-0.03,0.02,0.02,13.09,0.62,0.55,0,02 42 57.36,+42 37 42.0
526,02 39 44.33,+42 21 57.2,0,0.63,0.03,0.02,13.18,     ,     ,0,02 42 57.67,+42 34 41.0
527,02 39 44.36,+42 29 03.7,-0.25,-0.62,0.27,0.23,16.53,     ,     ,0,02 42 57.86,+42 41 47.5
528,02 39 44.44,+42 37 03.1,0.09,0.14,0.18,0.2,15.73,     ,     ,30,02 42 58.13,+42 49 46.9
529,02 39 44.67,+42 24 49.6,0.61,-0.07,0.07,0.07,15.16,     ,     ,0,02 42 58.08,+42 37 33.4
530,02 39 44.84,+42 44 55.5,0.29,0.55,0.22,0.36,16.22,0.96,0.96,0,02 42 58.71,+42 57 39.2
531,02 39 44.92,+42 46 40.5,-0.78,0.46,0.07,0.06,14.76,     ,     ,0,02 42 58.84,+42 59 24.2
532,02 39 45.00,+42 32 32.4,0,0.03,0.03,0.02,13.5,0.76,0.66,97,02 42 58.59,+42 45 16.1
533,02 39 45.77,+42 41 00.0,0.09,0.05,0.03,0.04,11.35,     ,     ,99,02 42 59.56,+42 53 43.7
534,02 39 45.87,+42 35 40.7,0,-0.17,0.29,0.29,15.8,     ,     ,43,02 42 59.53,+42 48 24.4
535,02 39 45.99,+42 21 09.6,0.29,0.06,0.05,0.03,13.92,0.54,0.52,0,02 42 59.31,+42 33 53.3
536,02 39 46.04,+42 45 18.6,0.08,-0.03,0.18,0.14,15.67,1,1.21,47,02 42 59.93,+42 58 02.3
537,02 39 46.10,+42 27 52.4,0.21,0.63,0.01,0.03,12.38,     ,     ,0,02 42 59.58,+42 40 36.1
538,02 39 46.21,+42 21 13.3,-0.06,0.27,0.39,0.29,15.49,0.64,0.55,0,02 42 59.54,+42 33 57.0
539,02 39 46.26,+42 20 31.4,0,0.33,0.21,0.13,15.69,1.09,1.19,6,02 42 59.57,+42 33 15.1
540,02 39 46.49,+42 46 32.9,-0.07,-0.02,0.27,0.27,15.41,0.61,0.69,63,02 43 00.41,+42 59 16.6
541,02 39 46.56,+42 22 19.2,0.46,0.35,0.22,0.1,15.22,0.64,0.65,0,02 42 59.91,+42 35 02.9
542,02 39 46.64,+42 39 41.6,-0.13,0.72,0.03,0.02,13.87,     ,     ,0,02 43 00.40,+42 52 25.3
543,02 39 47.03,+42 18 56.2,0.72,0.04,0.22,0.3,16.01,     ,     ,0,02 43 00.31,+42 31 39.9
544,02 39 47.06,+42 28 22.3,-0.43,0.27,0.11,0.09,14.7,     ,     ,0,02 43 00.56,+42 41 06.0
545,02 39 47.06,+42 40 57.2,-0.25,0.49,0.06,0.07,14.19,     ,     ,0,02 43 00.85,+42 53 40.8
546,02 39 47.15,+42 27 16.2,0.01,0.03,0.02,0.02,11.87,0.5,0.46,99,02 43 00.62,+42 39 59.8
547,02 39 47.82,+42 25 07.6,0.81,0.77,0.38,0.21,16.39,0.83,0.85,0,02 43 01.24,+42 37 51.2
548,02 39 48.04,+42 27 30.8,-0.02,0,0.02,0.02,12.91,0.58,0.55,99,02 43 01.52,+42 40 14.4
549,02 39 48.19,+42 25 52.8,0.31,0.04,0.04,0.09,15.22,0.98,0.97,0,02 43 01.63,+42 38 36.4
550,02 39 48.53,+42 19 29.3,2.22,-0.49,0.02,0.02,12.76,     ,     ,0,02 43 01.82,+42 32 12.9
551,02 39 48.59,+42 22 13.4,-0.09,0.68,0.36,0.13,15.63,0.6,0.62,0,02 43 01.95,+42 34 57.0
552,02 39 48.77,+42 34 59.7,-0.6,-0.05,0.02,0.02,12.94,     ,     ,0,02 43 02.43,+42 47 43.3
553,02 39 48.77,+42 21 49.1,0.62,0.39,0.21,0.11,15.25,     ,     ,0,02 43 02.12,+42 34 32.7
554,02 39 49.79,+42 39 11.7,-0.39,0.39,0.42,0.3,15.92,     ,     ,0,02 43 03.55,+42 51 55.2
555,02 39 49.87,+42 28 23.0,0.13,0.83,0.03,0.01,12.39,     ,     ,0,02 43 03.38,+42 41 06.5
556,02 39 50.35,+42 29 31.8,0.03,0.01,0.01,0.02,13.21,0.63,0.6,99,02 43 03.88,+42 42 15.3
557,02 39 51.86,+42 34 14.1,0.77,0.61,0.14,0.12,15.12,     ,     ,0,02 43 05.51,+42 46 57.5
558,02 39 52.34,+42 45 08.4,-0.03,0.72,0.23,0.29,15.52,0.48,0.65,0,02 43 06.25,+42 57 51.8
559,02 39 53.37,+42 19 34.5,0.2,0.28,0.04,0.05,14.13,0.59,0.59,0,02 43 06.68,+42 32 17.9
560,02 39 53.54,+42 41 53.2,0.03,0.35,0.18,0.29,15.82,1.23,1.13,4,02 43 07.37,+42 54 36.5
561,02 39 53.58,+42 35 04.2,0.13,0.7,0.03,0.02,12.65,     ,     ,0,02 43 07.25,+42 47 47.5
562,02 39 53.74,+42 44 10.2,0.35,0.02,0.17,0.15,15.01,0.75,0.72,0,02 43 07.63,+42 56 53.5
563,02 39 54.43,+42 41 49.5,-0.45,0.24,0.63,0.21,15.62,1.03,0.93,0,02 43 08.26,+42 54 32.8
564,02 39 54.49,+42 37 03.8,-0.44,0.87,0.08,0.08,14.2,     ,     ,0,02 43 08.21,+42 49 47.1
565,02 39 54.75,+42 21 44.2,0.41,0.14,0.1,0.05,14.48,     ,     ,0,02 43 08.12,+42 34 27.5
566,02 39 55.75,+42 22 47.3,-0.46,0.36,0.1,0.11,14.4,     ,     ,0,02 43 09.15,+42 35 30.5
567,02 39 55.93,+42 41 21.7,0.25,0.02,0.15,0.17,15.15,1.02,0.97,2,02 43 09.76,+42 54 04.9
568,02 39 55.96,+42 41 56.9,-0.01,0.63,0.17,0.15,14.98,0.6,0.4,0,02 43 09.80,+42 54 40.1
569,02 39 56.19,+42 34 02.8,0.36,0.06,0.05,0.06,14.64,     ,     ,0,02 43 09.85,+42 46 46.0
570,02 39 56.40,+42 41 50.5,-0.02,0.07,0.14,0.14,14.74,0.95,0.86,72,02 43 10.24,+42 54 33.7
571,02 39 56.43,+42 26 20.0,1.77,-2.22,0.14,0.12,14.92,     ,     ,0,02 43 09.91,+42 39 03.2
572,02 39 56.59,+42 23 39.8,0.25,0.49,0.02,0.03,13.25,     ,     ,0,02 43 10.01,+42 36 23.0
573,02 39 56.61,+42 21 49.0,-0.22,0.15,0.02,0.03,12.07,     ,     ,0,02 43 09.99,+42 34 32.2
574,02 39 56.62,+42 24 53.2,0.78,0.15,0.03,0.03,14.24,     ,     ,0,02 43 10.07,+42 37 36.4
575,02 39 56.97,+42 21 47.1,0.78,0.28,0.89,0.46,15.73,     ,     ,0,02 43 10.35,+42 34 30.3
576,02 39 57.03,+42 31 06.1,0.47,0.62,0.51,0.22,16.25,     ,     ,0,02 43 10.62,+42 43 49.3
577,02 39 57.83,+42 29 15.6,0.07,0.34,0.04,0.03,13.75,     ,     ,0,02 43 11.38,+42 41 58.7
578,02 39 58.11,+42 36 50.1,0.49,0.21,0.05,0.07,14.71,     ,     ,0,02 43 11.84,+42 49 33.2
579,02 39 58.87,+42 34 52.6,0.41,0.31,0.32,0.38,15.8,     ,     ,0,02 43 12.56,+42 47 35.7
580,02 39 58.91,+42 32 03.6,0.28,0.26,0.2,0.17,15.55,     ,     ,4,02 43 12.53,+42 44 46.7
581,02 39 59.16,+42 24 24.5,0.21,0.23,0.05,0.05,14.34,     ,     ,0,02 43 12.60,+42 37 07.6
582,02 39 59.33,+42 37 43.1,0.56,0.63,0.33,0.13,16.15,     ,     ,0,02 43 13.09,+42 50 26.2
583,02 39 59.37,+42 42 51.0,1.08,0.23,0.23,0.09,15.15,     ,     ,0,02 43 13.25,+42 55 34.1
584,02 39 59.51,+42 23 38.4,0.53,0.6,0.01,0.03,11.94,     ,     ,0,02 43 12.94,+42 36 21.5
585,02 39 59.61,+42 45 28.6,-2.58,-2.29,0.05,0.04,14.17,     ,     ,0,02 43 13.55,+42 58 11.6
586,02 40 01.11,+42 27 56.8,0.69,0.33,0.07,0.07,15.18,     ,     ,0,02 43 14.64,+42 40 39.8
587,02 40 01.24,+42 33 23.0,0.02,0.7,0.04,0.02,13.85,     ,     ,0,02 43 14.90,+42 46 06.0
588,02 40 01.71,+42 44 26.0,0.16,0.06,0.03,0.02,10.91,     ,     ,94,02 43 15.63,+42 57 08.9
589,02 40 02.34,+42 40 24.0,0.15,0.98,0.06,0.06,14.68,1.01,0.9,0,02 43 16.17,+42 53 06.9
590,02 40 02.59,+42 42 41.0,0,0.53,0.06,0.04,14.14,0.77,0.69,0,02 43 16.47,+42 55 23.9
591,02 40 03.22,+42 38 11.9,0.1,0,0.03,0.02,10.69,     ,     ,99,02 43 17.00,+42 50 54.8
592,02 40 03.28,+42 36 29.8,-0.13,-0.15,0.18,0.13,14.85,0.82,0.73,5,02 43 17.02,+42 49 12.7
593,02 40 03.35,+42 24 16.5,0.51,0.61,0.23,0.26,15.65,     ,     ,0,02 43 16.81,+42 36 59.4
594,02 40 04.34,+42 33 55.3,0.05,0.05,0.05,0.05,13.87,0.78,0.68,94,02 43 18.02,+42 46 38.1
595,02 40 05.13,+42 30 31.8,0.72,1.12,0.41,0.11,15.91,     ,     ,0,02 43 18.74,+42 43 14.6
596,02 40 05.30,+42 30 46.7,0.13,0,0.03,0.04,11.56,     ,     ,96,02 43 18.91,+42 43 29.5
597,02 40 05.33,+42 34 43.5,0.23,1.11,0.03,0.03,10.57,0.52,0.47,0,02 43 19.04,+42 47 26.3
598,02 40 07.05,+42 44 06.9,3.54,-1.39,0.25,0.15,15.37,     ,     ,0,02 43 20.98,+42 56 49.6
599,02 40 07.19,+42 41 02.2,1.05,0.36,0.03,0.02,13.28,     ,     ,0,02 43 21.05,+42 53 44.9
600,02 40 07.38,+42 36 14.5,0.04,-0.3,0.29,0.25,15.99,     ,     ,24,02 43 21.13,+42 48 57.2
601,02 40 07.89,+42 41 53.9,0.21,0.18,0.05,0.08,14.03,1.12,0.96,0,02 43 21.77,+42 54 36.6
602,02 40 09.51,+42 42 16.8,0.86,0.78,0.09,0.21,15.74,     ,     ,0,02 43 23.41,+42 54 59.4
603,02 40 09.57,+42 42 33.5,0,0.03,0.02,0.01,12.57,0.56,0.53,99,02 43 23.47,+42 55 16.1
604,02 40 11.47,+42 30 21.3,0.09,0.02,0.02,0.02,13.19,0.64,0.56,90,02 43 25.09,+42 43 03.8
605,02 40 11.52,+42 43 12.9,0.13,0.26,0.04,0.02,13.03,     ,     ,0,02 43 25.45,+42 55 55.4
606,02 40 11.82,+42 39 47.2,0.05,0.5,0.02,0.03,13.18,0.27,0.11,0,02 43 25.67,+42 52 29.7
607,02 40 12.04,+42 37 26.1,0.19,-0.15,0.15,0.3,15.57,0.65,0.68,32,02 43 25.83,+42 50 08.6
608,02 40 12.20,+42 39 38.1,0.46,0.31,0.48,0.28,16.2,0.83,0.67,0,02 43 26.04,+42 52 20.6
609,02 40 13.17,+42 33 04.5,0.08,0.31,0.19,0.12,15.56,     ,     ,7,02 43 26.86,+42 45 46.9
610,02 40 13.34,+42 35 55.4,1.76,-0.09,0.26,0.14,15.91,     ,     ,0,02 43 27.10,+42 48 37.8
611,02 40 14.64,+42 32 35.3,1.96,0.7,0.36,0.27,16.23,     ,     ,0,02 43 28.33,+42 45 17.6
612,02 40 16.39,+42 40 21.1,0.21,-0.07,0.18,0.14,14.88,0.93,0.95,2,02 43 30.27,+42 53 03.4
613,02 40 16.62,+42 38 04.0,-0.33,0.59,0.04,0.05,13.49,     ,     ,0,02 43 30.44,+42 50 46.2
614,02 40 16.90,+42 35 04.9,0.41,0.32,0.05,0.04,11.5,     ,     ,0,02 43 30.65,+42 47 47.1
615,02 40 17.22,+42 35 56.0,0.56,0.77,0.26,0.17,15.14,     ,     ,0,02 43 30.99,+42 48 38.2
616,02 40 17.78,+42 25 16.4,0.53,0.2,0.31,0.32,15.84,     ,     ,0,02 43 31.31,+42 37 58.6
617,02 40 17.96,+42 25 46.0,0.32,0.26,0.3,0.3,15.6,0.96,0.81,3,02 43 31.50,+42 38 28.2
618,02 40 18.41,+42 25 50.1,0.16,0,0.1,0.06,13.57,0.76,0.73,8,02 43 31.95,+42 38 32.3
619,02 40 19.23,+42 29 44.1,0.27,0.19,0.2,0.14,14.91,0.96,0.86,0,02 43 32.87,+42 42 26.2
620,02 40 20.06,+42 37 37.1,0.22,0.59,0.1,0.12,15.56,     ,     ,0,02 43 33.88,+42 50 19.2
621,02 40 20.46,+42 28 16.9,0.6,0.46,0.24,0.21,16,     ,     ,0,02 43 34.07,+42 40 59.0
622,02 40 21.10,+42 30 23.9,0.53,-0.74,0.1,0.08,12.69,     ,     ,0,02 43 34.76,+42 43 05.9
623,02 40 21.98,+42 33 00.6,0.59,0.16,0.16,0.21,15.68,     ,     ,0,02 43 35.70,+42 45 42.6
624,02 40 22.24,+42 35 39.6,1.27,-0.31,0.45,0.27,15.74,     ,     ,0,02 43 36.03,+42 48 21.6
625,02 40 23.00,+42 36 01.9,0.01,-0.09,0.08,0.08,13.99,0.8,0.69,89,02 43 36.80,+42 48 43.8
626,02 40 23.50,+42 27 59.3,0.67,0.72,0.11,0.28,16.03,     ,     ,0,02 43 37.11,+42 40 41.2
627,02 40 24.16,+42 29 43.8,0.39,0.71,0.21,0.24,15.49,     ,     ,0,02 43 37.81,+42 42 25.7
628,02 40 24.72,+42 28 03.5,0.46,0.47,0.25,0.22,15.23,     ,     ,0,02 43 38.34,+42 40 45.4
629,02 40 25.27,+42 34 13.5,-0.16,0.22,0.05,0.07,13.89,     ,     ,0,02 43 39.03,+42 46 55.3
630,02 40 26.43,+42 31 15.8,0.02,0.45,0.18,0.11,14.92,     ,     ,0,02 43 40.13,+42 43 57.6
